x-axis,F1
Hertz,dBV
+264.8000E+00,-75.22005E+00
+265.2000E+00,-74.84629E+00
+265.6000E+00,-74.47253E+00
+266.0000E+00,-74.09877E+00
+266.4000E+00,-73.72501E+00
+266.8000E+00,-73.35125E+00
+267.2000E+00,-73.15487E+00
+267.6000E+00,-73.19558E+00
+268.0000E+00,-73.23628E+00
+268.4000E+00,-73.27698E+00
+268.8000E+00,-73.31769E+00
+269.2000E+00,-73.35839E+00
+269.6000E+00,-73.39910E+00
+270.0000E+00,-73.43980E+00
+270.4000E+00,-73.48050E+00
+270.8000E+00,-73.52121E+00
+271.2000E+00,-73.44327E+00
+271.6000E+00,-73.35085E+00
+272.0000E+00,-73.25844E+00
+272.4000E+00,-73.16602E+00
+272.8000E+00,-73.07361E+00
+273.2000E+00,-72.98119E+00
+273.6000E+00,-72.88877E+00
+274.0000E+00,-72.79636E+00
+274.4000E+00,-72.70394E+00
+274.8000E+00,-72.73785E+00
+275.2000E+00,-73.00179E+00
+275.6000E+00,-73.26572E+00
+276.0000E+00,-73.52966E+00
+276.4000E+00,-73.79359E+00
+276.8000E+00,-74.05753E+00
+277.2000E+00,-74.32147E+00
+277.6000E+00,-74.58540E+00
+278.0000E+00,-74.84934E+00
+278.4000E+00,-75.11327E+00
+278.8000E+00,-75.02426E+00
+279.2000E+00,-74.85658E+00
+279.6000E+00,-74.68890E+00
+280.0000E+00,-74.52122E+00
+280.4000E+00,-74.35354E+00
+280.8000E+00,-74.18586E+00
+281.2000E+00,-74.01818E+00
+281.6000E+00,-73.85050E+00
+282.0000E+00,-73.68282E+00
+282.4000E+00,-73.63225E+00
+282.8000E+00,-73.88134E+00
+283.2000E+00,-74.13043E+00
+283.6000E+00,-74.37952E+00
+284.0000E+00,-74.62860E+00
+284.4000E+00,-74.87769E+00
+284.8000E+00,-75.12678E+00
+285.2000E+00,-75.37587E+00
+285.6000E+00,-75.62496E+00
+286.0000E+00,-75.87404E+00
+286.4000E+00,-76.19744E+00
+286.8000E+00,-76.54637E+00
+287.2000E+00,-76.89529E+00
+287.6000E+00,-77.24422E+00
+288.0000E+00,-77.59315E+00
+288.4000E+00,-77.94208E+00
+288.8000E+00,-78.29101E+00
+289.2000E+00,-78.63993E+00
+289.6000E+00,-78.98886E+00
+290.0000E+00,-79.28663E+00
+290.4000E+00,-79.38903E+00
+290.8000E+00,-79.49143E+00
+291.2000E+00,-79.59383E+00
+291.6000E+00,-79.69623E+00
+292.0000E+00,-79.79863E+00
+292.4000E+00,-79.90103E+00
+292.8000E+00,-80.00343E+00
+293.2000E+00,-80.10583E+00
+293.6000E+00,-80.20823E+00
+294.0000E+00,-80.58590E+00
+294.4000E+00,-81.09866E+00
+294.8000E+00,-81.61143E+00
+295.2000E+00,-82.12420E+00
+295.6000E+00,-82.63697E+00
+296.0000E+00,-83.14974E+00
+296.4000E+00,-83.66250E+00
+296.8000E+00,-84.17527E+00
+297.2000E+00,-84.68804E+00
+297.6000E+00,-85.07968E+00
+298.0000E+00,-84.68877E+00
+298.4000E+00,-84.29786E+00
+298.8000E+00,-83.90695E+00
+299.2000E+00,-83.51604E+00
+299.6000E+00,-83.12512E+00
+300.0000E+00,-82.73421E+00
+300.4000E+00,-82.34330E+00
+300.8000E+00,-81.95239E+00
+301.2000E+00,-81.56148E+00
+301.6000E+00,-81.67210E+00
+302.0000E+00,-82.12087E+00
+302.4000E+00,-82.56963E+00
+302.8000E+00,-83.01840E+00
+303.2000E+00,-83.46717E+00
+303.6000E+00,-83.91594E+00
+304.0000E+00,-84.36471E+00
+304.4000E+00,-84.81347E+00
+304.8000E+00,-85.26224E+00
+305.2000E+00,-85.69960E+00
+305.6000E+00,-85.95995E+00
+306.0000E+00,-86.22031E+00
+306.4000E+00,-86.48066E+00
+306.8000E+00,-86.74101E+00
+307.2000E+00,-87.00136E+00
+307.6000E+00,-87.26171E+00
+308.0000E+00,-87.52207E+00
+308.4000E+00,-87.78242E+00
